,Player Name,Nation,Squad,Matches Played,Minutes Played,Gls 90,Ast 90,G+A 90,xG 90,xAG 90,Age,Yellow Cards,Red Cards,Fouls commited,Fouls Drawn,Interceptions,Loose Ball Recovered,Aerial Duels Won %,Crosses,Shots on Target pr 90,Shots Total pr 90,Goals pr shot,Goals pr Shot on target,Average shooting distance,Short Cmp %,Medium Cmp%,Long Cmp%,Passes lead to shot,Completed passes into 1/3 offensive pitch,Completed passes into penalty area,Completed crosses into penalty area,Progressive passes,Tackles,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Tackle succes %,Number of times dribbled,Blocks total (shots+passes),Shots blocked,Passes blocked,Clearances,Shot creating actions 90,Completed liveball passes lead to shot,Completed deadball passes lead to shot,Succesfull dribbles lead to shot,Shot lead to another shot,Fouls Drawn lead to shot,Defensive actions lead to shot,Goal Creating Action 90,liveball passes lead to goal,Deadball passes lead to goal,Dribbles lead to goal,Shots that lead goal scoring shot,Fouls drawn lead to goal,Defensive actions lead to goal,DF,FW,MF,Prediction,market_value,difference,difference %
10,sargis adamyan,am ARM,Köln,0.6100779437207372,-1.411278142281431,0.20507490698666012,0.565565068574312,0.383477059987078,2.077022055079234,0.13052827333682138,0.6552291074663232,-0.5179307368843165,-0.3041753519952772,0.14019784260353538,-0.5884717550720712,-0.8785403918944148,-0.5482227146866847,-0.5411603893751805,-0.2552971292121323,2.3118630106248905,1.415330841636768,-0.22189397624232773,-0.3998787804154526,-0.38805823284385055,0.06030975549614797,-0.1553279647593431,0.49314413800404777,-0.2217411000685617,-0.7607422909654803,0.008192606065948134,0.015491268787058136,-0.5432978193865,-0.577073887758602,-0.6171507165519138,-0.8653566948454612,0.845309999161766,-0.19939989211836684,-0.17246334882566763,-0.37591165762331197,-0.7791920645233615,0.005880319893809606,-0.7930392384417393,0.5838024985842755,-0.19154192240998572,-0.41294118952448305,-0.5119602274269239,1.2674631875590097,-0.610837956549423,-0.48143675468883057,0.4333713209596944,-0.2788089756015502,-0.27162260048869397,-0.26818175823197155,1.2342685005317606,-0.31529656749461066,-0.17282534396494637,0.0,1.0,0.0,6.57,2.5,4.07,162.8
11,tosin adarabioyo,eng ENG,Fulham,-0.8120078956998688,0.1452870346721713,-0.16839451022097468,-0.5980096257532103,-0.3996121134699663,-0.6384834511881617,-0.8174892498920415,-0.33289647502112946,-1.1790263730473627,-0.3041753519952772,-0.4238264016833055,-0.7790253332311441,0.5254973386322611,-0.028173423415442253,1.3839920875123923,-0.578781213724085,-0.5702305708232833,-0.7143306095136724,1.9586968526737194,2.511545223882185,-0.5226277261765746,0.26474767394005794,0.41088466076095564,-0.24382955337232656,-0.7775267354866885,-0.17231358679478198,-0.5674358016493745,-0.6279108018223069,0.1212983938076139,-0.2512723806309105,0.40901493853391374,-0.6613398360950803,-0.8229777481582592,0.6337306021072756,-0.7073511854376668,-0.289903300041774,1.0274141201682607,-1.0238880542707847,2.270335450454086,-0.8971423729336321,-0.7468824097846168,-0.41294118952448305,-0.5119602274269239,-0.6709942941369419,-0.610837956549423,-0.48143675468883057,-0.7405991216727706,-0.6537744922310835,-0.27162260048869397,-0.26818175823197155,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,1.0,0.0,0.0,13.92,18.0,-4.08,-22.67
12,karim adeyemi,de GER,Dortmund,-0.45648643584471726,-1.2275633681774651,-0.5723654820758671,-0.5980096257532103,-0.683612890214944,0.46696922541436703,2.09537905719874,-1.5680534531304455,0.8042605354417761,-0.3041753519952772,0.054558568223824724,0.38374710650423793,-0.253364403280365,-0.42281453820812204,2.59950624274415,-0.2011473083057576,1.9064881794318451,1.3722076924409754,-0.6578750410617571,-0.7262732797114314,1.0166566785116233,0.9677636292824824,0.8596016067425802,0.022104425489357832,0.22963137446473375,-0.5502553852048832,0.5299919788976222,-0.6279108018223069,-0.3654212979762517,-0.5079722326726029,-0.40283396147866346,-0.5289459171187696,-0.20786221868255791,0.22897596766008352,1.3981726981901488,0.07192496288745123,-0.7791920645233615,0.5851592829017805,-0.9096065653615517,1.6344765203359928,0.3951451693139062,-0.41294118952448305,0.2429405289463325,1.473195703305043,1.1819383601114735,-0.48143675468883057,1.5820399002404406,0.45225586814156554,-0.27162260048869397,-0.26818175823197155,1.984092964688904,-0.31529656749461066,-0.17282534396494637,0.0,1.0,0.0,31.56,35.0,-3.44,-9.83
13,michel aebischer,ch SUI,Bologna,0.2545564838655857,-0.7732868358476583,-0.12415561416770132,-0.5980096257532103,-0.36851116385524263,-0.2901484417630533,-0.6125326312694492,-0.33289647502112946,0.14316489927872983,-0.3041753519952772,-0.4863629880908158,0.17077546032645033,-0.7854461496874445,-0.4495624359885147,-0.4213007024711151,-0.4465578980667142,-0.33835987319445227,-0.1472623165082694,0.033342317994204215,0.556723965948863,-0.26111270103815626,-0.1484319623672161,-0.08608453585437938,-0.23532457920669553,-0.4734566805586233,-0.5139410392989152,-0.7833742421652848,-0.6279108018223069,-0.7408193381412533,-1.087402407171497,-1.0684932868386259,-1.0379028679375384,-0.10162691401831098,-1.5026933844869002,-0.4649801344728547,-0.3869275063775972,-0.5405673283128928,-0.15907991460514848,-0.7079964087392346,-0.20965144375545652,-0.4714367638253132,-0.2298208154305703,-0.0693211911739484,0.16717521445800604,-0.08523722405289148,-0.48143675468883057,-0.022512430462929306,-0.6537744922310835,-0.27162260048869397,-0.26818175823197155,1.0207423286194621,1.5633368975561313,-0.17282534396494637,0.0,1.0,0.0,4.91,3.5,1.41,40.29
14,emmanuel agbadou,ci CIV,Reims,-0.10096497598956576,0.37576556945714673,-0.5723654820758671,-0.5980096257532103,-0.683612890214944,-0.3861108954623549,-0.5581259652350884,-0.33289647502112946,0.14316489927872983,6.073018234664326,0.30629820267953384,-0.7496840383242972,0.3553595856333154,0.7459370477567755,0.10958373692775367,-0.6234130138535671,-0.49359228696771623,-0.40409904890065335,-0.6578750410617571,-0.7262732797114314,-0.4160565743138088,-0.24377824535360293,-0.1437950208835651,-0.03817481154013893,-0.7257638370310353,-0.25487274317081654,-0.3773228518579894,-0.6279108018223069,-0.351848390720048,0.7089846930085995,1.4011170034094225,0.23665990122374964,-0.8229777481582592,0.24879416648236297,-0.18679070159206002,0.1185304768478905,0.5796673424060717,-0.21278789793039063,1.6735693868520265,-0.6692222144927743,-0.5525334628192051,-0.23914330720262403,-0.5119602274269239,0.12450476674771792,-0.610837956549423,-0.48143675468883057,-0.5290899508073265,-0.3460197757521268,-0.27162260048869397,-0.26818175823197155,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,1.0,0.0,0.0,5.19,3.0,2.19,73.0
15,alvaro aguado,es ESP,Valladolid,0.2545564838655857,-0.3657740641988612,-0.5723654820758671,0.6105189875824735,-0.11593871514198605,-0.5631050887657496,-0.09952000405047585,-0.08586507939926628,-0.5179307368843165,-0.3041753519952772,-0.7926727648256896,-0.15033039629454842,-0.4263110342769347,-0.10490919573624158,-0.11270817921185354,0.04567812238149373,-0.5703335100897112,-0.4816401552646521,-0.6578750410617571,-0.7262732797114314,0.6238912122569882,-0.001231597794167307,-0.054262153678623755,0.4045304957947398,0.4020757733198524,0.23804825769222818,-0.4236842749658723,-0.33554728231585007,0.4440716532073339,-1.006271945459417,-0.7950383543169071,-0.8810920376746129,-0.8229777481582592,-0.358268555336926,-0.43154964468460477,-0.2170292236672701,-0.026873350725265612,-0.2637556780247535,-0.6447641323440535,0.5736683506607574,0.5504625379605618,0.3568302739393827,-0.5119602274269239,-0.6709942941369419,-0.05847936858034087,-0.48143675468883057,0.5084665310498523,0.027766604032659604,2.871229393260114,-0.26818175823197155,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,0.0,0.0,1.0,6.32,3.0,3.32,110.67
16,kevin agudelo,co COL,Spezia,0.9655994035758887,0.40248771841772363,-0.5723654820758671,-0.5980096257532103,-0.683612890214944,-0.5554222941342344,-0.31466234553794814,-0.5799278706429927,0.14316489927872983,-0.3041753519952772,-0.08047265975162603,-0.03725102378838493,-0.5631435195897655,-0.22882650578114222,-0.964643529348477,-0.2920829932957974,-0.39842493515512817,-0.4902334553638653,-0.6578750410617571,-0.7262732797114314,-0.42184026926534884,-0.8747465135288051,-0.8316680001198976,-0.6427817003934214,-0.3359152646621732,-0.39604111197417713,-0.2681090296374063,-0.44176932227494325,-0.3563726931387821,0.46712890020760417,-0.023876520388876183,0.559505728235656,1.1076193933944762,-0.8029365068346687,1.0752102879143781,0.39604512815777737,-0.14054549779279749,0.601052461640884,-0.8421588038733583,-0.5176328810973138,-0.46941440225439285,-0.29041701194891956,0.08037128290433096,0.17022310358017004,0.09251138730048142,-0.48143675468883057,-0.4423792945521442,-0.4368133127976427,-0.27162260048869397,-0.26818175823197155,-0.34483202663361295,0.9416800054847956,-0.17282534396494637,0.0,0.0,1.0,3.54,3.5,0.04,1.14
17,naouirou ahamada,fr FRA,Stuttgart,0.9655994035758887,1.250915947916039,-0.05721517935024795,-0.5980096257532103,-0.3214505164119106,-0.4322076632514454,-0.5243391771954852,-1.5680534531304455,0.14316489927872983,-0.3041753519952772,0.39193747705924525,0.5482561644650991,-0.05915055315892697,0.7725095494861495,-0.4992549042202473,-0.395752246622491,-0.187039151545448,-0.22111098923588687,0.2184286190967925,0.37477162929158514,0.38314490989910294,0.039915107382153134,0.14430737536774377,-0.3267483988755449,0.07966686293892743,-0.025206410752107573,-0.2326378737025163,-0.03104410109978238,-0.12229957326425224,-0.020165734176625545,-0.09153059538992465,-0.07750435733069293,0.33774132132147594,-0.35629319690750405,0.8155270190235065,0.30579990567074516,0.24472498539792284,0.24098975710328943,-0.5851974951601869,-0.06420905254311388,0.46390546272518646,-0.41294118952448305,0.9125326710599249,0.22813299690127523,-0.04701171623496178,0.8664629115926213,0.029712056170513854,0.7376069845703304,-0.27162260048869397,-0.26818175823197155,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,0.0,0.0,1.0,9.15,5.5,3.65,66.36
18,jean eudes aholou,ci CIV,Strasbourg,-0.10096497598956576,-0.8901962375501822,-0.5723654820758671,-0.5980096257532103,-0.683612890214944,-0.46003967399202833,-0.03343702156125195,0.4081977118444601,0.14316489927872983,-0.3041753519952772,-0.3103045728543861,0.37946129938301354,0.2602590019994709,-0.461226273381276,-0.1598378202955236,-0.5557578931961965,-0.3291982784823696,-0.49999043151818107,-0.6578750410617571,-0.7262732797114314,0.017950580373688158,-0.4282384927898985,-0.5714902781604013,-0.5372418568632342,-0.4134117183500655,-0.6082804526578507,-0.2923787679086471,-0.6279108018223069,-0.6597390763739313,-0.3531333388687905,-0.695213110783892,0.10372338421884747,-0.1331040413262358,-0.4903591119958985,-0.022623117810475095,-0.4276014094703436,-0.7791920645233615,-0.06098063893965454,-0.6685907872176,-0.37590584068852656,-0.5488932119915491,-0.41294118952448305,-0.5119602274269239,-0.6709942941369419,-0.10817252874364906,1.9219368875621652,-0.3853825703470246,-0.3436615020626328,-0.27162260048869397,-0.26818175823197155,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,0.0,0.0,1.0,3.46,3.0,0.46,15.33
19,joseph aidoo,gh GHA,Celta Vigo,0.6100779437207372,1.34778373789813,-0.3270724452752165,-0.5980096257532103,-0.5111663090617257,-0.5578865867518904,-0.8174892498920415,0.1611663162225969,0.14316489927872983,-0.3041753519952772,-0.17407837825968356,-0.4124239856309899,0.32245558623257503,1.024729070851425,0.0033150181820442216,-0.6234130138535671,-0.6403836808938931,-0.6576461585988074,0.5113676783727397,2.0823243271521936,0.021762561137202666,-0.06686081593099064,0.21621283959853008,0.09805365868397811,-0.7911329830807459,0.2273389331623179,-0.502405349102076,-0.6279108018223069,0.21880901699033933,0.7747592313682342,1.352387145191883,0.26867318491064374,-0.42820210983803314,0.35051589495069774,-0.4028949391518193,0.4663770855889834,1.0491072780055748,-0.059336517001127534,1.738451200892298,-0.9749381940275862,-0.8449669459742369,-0.41294118952448305,-0.5119602274269239,-0.6709942941369419,-0.610837956549423,0.8938778200593619,-0.7405991216727706,-0.6537744922310835,-0.27162260048869397,-0.26818175823197155,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,1.0,0.0,0.0,5.8,7.0,-1.2,-17.14
20,ola aina,ng NGA,Torino,-0.8120078956998688,-0.9235989237509032,-0.006107612593966388,-0.5980096257532103,-0.28552073514647985,-0.24811050887363123,0.16431506137642463,-0.08586507939926628,0.8042605354417761,-0.3041753519952772,-0.04223372793556997,0.09461996455699365,-0.15224479536589758,-0.2856548263112888,0.2695633088157959,0.15860815268029863,-0.013432078714805241,-0.3146078845861861,0.523021260294014,0.20980151072231917,-0.030126383910995425,0.09258080512230997,-0.1752055122066148,-0.09094473330523331,-0.2507283232037274,-0.3236071351536945,0.16252324943178612,1.2173177780385138,-0.27541149196142756,-0.21672155308791177,-0.6370211441745991,0.11674573690504139,0.37315308954289106,0.1809766039545166,-0.3957312627686227,-0.4174329336971574,-0.5154032652216071,-0.21443201986891883,0.03759460684220645,0.03187656457972286,-0.16686911124476164,-0.41294118952448305,0.4666744418160181,-0.6709942941369419,-0.610837956549423,-0.48143675468883057,0.1079587439023445,-0.2953168914280076,-0.27162260048869397,1.6256036576664943,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,1.0,0.0,0.0,7.91,3.5,4.41,126.0
21,rayan ait nouri,fr FRA,Wolves,-0.8120078956998688,-0.636335822424702,-0.5723654820758671,-0.5980096257532103,-0.683612890214944,-0.435831622983292,0.13624221543175508,-1.3210220575085823,-0.5179307368843165,-0.3041753519952772,-0.0020031850874257045,-0.3174768740223162,-0.5860158118561333,-0.1435840249859235,-0.03445807800581919,0.049922645160378636,-0.012351216417311845,-0.20533422733498663,-0.6578750410617571,-0.7262732797114314,-0.12539304109574897,0.34007160980029216,0.33383056087133894,0.884717242888005,-0.2607851149036824,-0.20200762299135094,0.5197240127059441,1.1373983384502449,0.003309349150615268,0.379600137098672,1.243099793267115,-0.46980273200230255,-0.3652478552221827,0.913428432807733,-0.9133068814545642,-1.171171200384619,-0.7791920645233615,-1.0227919729784327,-0.26995252298710926,0.10554925246485415,-0.18062116992701702,-0.18054478749257186,1.1732873033253146,-0.6709942941369419,0.05619715487344823,-0.48143675468883057,-0.7405991216727706,-0.6537744922310835,-0.27162260048869397,-0.26818175823197155,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,1.0,0.0,0.0,14.94,22.0,-7.06,-32.09
22,kristoffer ajer,no NOR,Brentford,-2.234093735120475,-1.1841398761165276,-0.5723654820758671,-0.5980096257532103,-0.683612890214944,-0.6299309062210033,-0.8174892498920415,-0.5799278706429927,-1.1790263730473627,-0.3041753519952772,-0.7679767880278193,-0.0708781258164571,-0.19156908733263472,-0.28407626185211776,0.7064129414973869,-0.414531044371495,-0.7488301980756793,-0.7837483618776331,-0.6578750410617571,-0.7262732797114314,-0.9878536888411388,0.5804440195907288,0.6003239425723315,0.1061957291379478,-0.8801651684244692,-0.32263356019642975,-0.7833742421652848,-0.6279108018223069,-0.4070925044645963,-0.2929893057383843,-0.30017008542812196,-0.3770184691131669,0.24199839242653715,0.5135383492591624,0.33257583618968073,-0.4589542097710027,0.6299954685886432,-0.9915536561464041,-0.09106932947494456,-0.7756534222677877,-0.781262556490257,-0.41294118952448305,-0.5119602274269239,-0.6709942941369419,-0.610837956549423,-0.48143675468883057,-0.7405991216727706,-0.6537744922310835,-0.27162260048869397,-0.26818175823197155,-0.34483202663361295,-0.31529656749461066,-0.17282534396494637,1.0,0.0,0.0,10.35,16.0,-5.65,-35.31
